student_index,predicted_category,confidence,risk_level,intervention_priority,top_recommendation
0,Low,0.8139088102875326,Critical,HIGH,Schedule one-on-one academic counseling within one week.
1,Low,0.8247013627463627,Critical,HIGH,Schedule one-on-one academic counseling within one week.
2,Medium,0.5093056377153309,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
3,High,0.9085883073208351,Low,LOW,Maintain current support level; recognize positive performance.
4,Medium,0.7020906359410067,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
5,High,0.8546336670750214,Low,LOW,Maintain current support level; recognize positive performance.
6,Medium,0.7996279764191789,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
7,Low,0.8003499651745785,Critical,HIGH,Schedule one-on-one academic counseling within one week.
8,High,0.9255486801287112,Low,LOW,Maintain current support level; recognize positive performance.
9,High,0.8561630967144828,Low,LOW,Maintain current support level; recognize positive performance.
10,Low,0.5086739735452148,Critical,HIGH,Schedule one-on-one academic counseling within one week.
11,Medium,0.7615362931139171,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
12,High,0.8429619360801186,Low,LOW,Maintain current support level; recognize positive performance.
13,Medium,0.7913310505952595,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
14,High,0.8245352994975722,Low,LOW,Maintain current support level; recognize positive performance.
15,High,0.9203068034915289,Low,LOW,Maintain current support level; recognize positive performance.
16,High,0.7374388073387216,Low,LOW,Maintain current support level; recognize positive performance.
17,Medium,0.752690250061386,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
18,Low,0.9012662044925364,Critical,HIGH,Schedule one-on-one academic counseling within one week.
19,Medium,0.5688690061552886,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
20,High,0.872554604233065,Low,LOW,Maintain current support level; recognize positive performance.
21,High,0.7634487704900452,Low,LOW,Maintain current support level; recognize positive performance.
22,High,0.9547876165890158,Low,LOW,Maintain current support level; recognize positive performance.
23,Medium,0.6790241651621963,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
24,Low,0.49593479759162684,Critical,HIGH,Schedule one-on-one academic counseling within one week.
25,Low,0.8311197938904872,Critical,HIGH,Schedule one-on-one academic counseling within one week.
26,Medium,0.7720282862339755,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
27,High,0.8617658219377349,Low,LOW,Maintain current support level; recognize positive performance.
28,Medium,0.7768570730432404,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
29,Medium,0.683335260872028,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
30,Medium,0.7522288467158144,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
31,High,0.9694579465116361,Low,LOW,Maintain current support level; recognize positive performance.
32,High,0.8690043677621054,Low,LOW,Maintain current support level; recognize positive performance.
33,Medium,0.5516425755308855,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
34,High,0.7129027692969936,Low,LOW,Maintain current support level; recognize positive performance.
35,Low,0.6572879591751901,Critical,HIGH,Schedule one-on-one academic counseling within one week.
36,High,0.9740177428255276,Low,LOW,Maintain current support level; recognize positive performance.
37,High,0.8675624443278889,Low,LOW,Maintain current support level; recognize positive performance.
38,Medium,0.7927756663884956,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
39,Medium,0.7329170461323354,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
40,Medium,0.6343102951199703,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
41,Medium,0.7805896898975879,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
42,High,0.9835050796730737,Low,LOW,Maintain current support level; recognize positive performance.
43,Medium,0.5416971303520787,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
44,Low,0.6254952004697998,Critical,HIGH,Schedule one-on-one academic counseling within one week.
45,Low,0.7778392611793177,Critical,HIGH,Schedule one-on-one academic counseling within one week.
46,Medium,0.7463031624407053,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
47,High,0.964630513387222,Low,LOW,Maintain current support level; recognize positive performance.
48,High,0.8814560527897035,Low,LOW,Maintain current support level; recognize positive performance.
49,Low,0.75846373493682,Critical,HIGH,Schedule one-on-one academic counseling within one week.
50,Medium,0.8426849487874418,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
51,Medium,0.6622978935177193,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
52,Medium,0.7520826404396554,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
53,Medium,0.6805146243064512,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
